"","Country.of.Origin","Altitude","Weight.kg","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture.Percentage","Category.One.Defects","Quakers","Color","Category.Two.Defects"
"1","Colombia",1815,35,"Castillo","Anaerobic",8.58,8.5,8.42,8.58,8.25,8.42,10,10,10,8.58,89.33,11.8,0,0,"green",3
"2","Taiwan",1200,80,"Gesha","Washed / Wet",8.5,8.5,7.92,8,7.92,8.25,10,10,10,8.5,87.58,10.5,0,0,"blue-green",0
"3","Laos",1300,475,"Java","Semi Washed",8.33,8.42,8.08,8.17,7.92,8.17,10,10,10,8.33,87.42,10.4,0,0,"yellowish",2
"4","Costa Rica",1900,22,"Gesha","Washed / Wet",8.08,8.17,8.17,8.25,8.17,8.08,10,10,10,8.25,87.17,11.8,0,0,"green",0
"5","Colombia",1975,48,"Bourbon","Pulped natural / honey",8.33,8.33,8.08,8.25,7.92,7.92,10,10,10,8.25,87.08,11.6,0,2,"yellow-green",2
"6","Guatemala",1668,150,"Gesha","Washed / Wet",8.33,8.33,8.25,7.83,7.83,8.17,10,10,10,8.25,87,10.7,0,0,"green",2
"7","Taiwan",1250,27,"Gesha","Washed / Wet",8.33,8.17,8.08,8,7.83,8.25,10,10,10,8.25,86.92,9.1,0,0,"green",0
"8","Taiwan",1200,90,"Blend","Natural / Dry",8.25,8.25,8.17,8,7.92,8.08,10,10,10,8.08,86.75,10,0,0,"yellow-green",1
"9","Taiwan",1250,30,"SL34","Washed / Wet",8.08,8.08,8.25,8.08,7.92,8,10,10,10,8.25,86.67,10.8,0,0,"greenish",0
"10","Tanzania, United Republic Of",1550,19200,"Bourbon","Washed / Wet",8.08,8.17,8.08,8.17,8,8,10,10,10,8,86.5,11,0,0,"greenish",0
"11","Ethiopia",2000,300,"Ethiopian Heirlooms","Natural / Dry",8.08,8.25,8,8.08,7.92,7.92,10,10,10,8,86.25,11.8,0,1,"greenish",1
"12","Guatemala",2000,75,"Gesha","Natural / Dry",8.08,8,8,7.75,8.25,8.17,10,10,10,8,86.25,11.5,0,0,"brownish",1
"13","Taiwan",1250,60,"Gesha","Washed / Wet",8.08,8,8.08,8.08,8,8,10,10,10,8,86.25,11.9,0,0,"green",0
"14","Ethiopia",1950,2400,"Gesha","Natural / Dry",7.67,8.17,8,8.33,8,8,10,10,10,8,86.17,11.6,0,3,"yellow-green",2
"15","Colombia",1850,2450,"Caturra","Washed / Wet",8.08,8,8.08,7.92,8.08,8,10,10,10,8,86.17,10.6,0,0,"green",0
"16","Taiwan",1100,60,"SL34","Pulped natural / honey",8.17,8.08,8,7.92,8,7.92,10,10,10,8,86.08,10.2,0,0,"green",0
"17","Ethiopia",2000,40,"Blend","Washed / Wet",8.17,8.08,7.92,8.17,7.75,7.92,10,10,10,8.08,86.08,11.3,0,2,"green",2
"18","Taiwan",1300,10,"Gesha","Natural / Dry",8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,86.08,10.3,0,0,"yellow-green",0
"19","Taiwan",1200,8,"Gesha","Natural / Dry",8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,85.92,11,0,0,"brownish",1
"20","Tanzania, United Republic Of",1585,6000,"Bourbon","Washed / Wet",8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,85.83,10,0,0,"greenish",0
"21","Guatemala",1900,240,"Gesha","Natural / Dry",8,7.92,8.08,7.92,7.75,8,10,10,10,8.08,85.75,11.6,0,0,"yellowish",0
"22","Taiwan",850,20,"Typica","Natural / Dry",8.08,8,7.92,7.92,8,7.83,10,10,10,7.92,85.67,10.4,0,0,"green",0
"23","Thailand",1600,2,"Catimor","Pulped natural / honey",7.67,8,7.83,8,8.08,8,10,10,10,8.08,85.67,9.8,0,0,"brownish",5
"24","Colombia",1350,30,"Castillo",NA,8.08,8,7.83,8.17,7.75,7.83,10,10,10,8,85.67,11.3,0,0,"brownish",2
"25","Taiwan",1250,200,"SL34","Washed / Wet",7.83,8,7.92,8,8,7.92,10,10,10,7.92,85.58,10.6,0,0,"bluish-green",0
"26","Brazil",1250,1500,NA,"Pulped natural / honey",7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,85.5,11.3,2,0,"green",3
"27","Taiwan",1300,100,"Gesha","Natural / Dry",7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,85.5,9.1,0,0,"green",2
"28","Taiwan",1200,90,"Gesha","Natural / Dry",8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,85.5,10.6,0,0,"green",0
"29","Taiwan",1060,85,"Gesha","Natural / Dry",8,8,8,7.92,7.75,7.92,10,10,10,7.92,85.5,10.2,0,0,"blue-green",0
"30","United States (Hawaii)",600,1200,"Typica","Washed / Wet",8,7.92,8,7.83,7.67,8,10,10,10,8,85.42,9.3,0,0,"green",0
"31","Taiwan",200,144,"Typica","Washed / Wet",8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,85.42,11.4,0,0,"bluish-green",0
"32","Taiwan",200,150,"Typica","Washed / Wet",7.92,8,7.83,7.92,7.83,7.83,10,10,10,8,85.33,10.8,0,0,"green",0
"33","Taiwan",668,20,"Gesha","Washed / Wet",8.08,8.17,7.67,7.83,7.67,7.92,10,10,10,8,85.33,11.3,0,0,"green",0
"34","Ethiopia",1950,19200,"Ethiopian Heirlooms","Washed / Wet",7.67,7.83,7.83,8,8,8,10,10,10,8,85.33,9.9,0,2,"green",3
"35","Ethiopia",2250,19200,"Ethiopian Heirlooms","Natural / Dry",8,8.08,8,8,7.67,7.75,10,10,10,7.83,85.33,12.3,0,3,"yellow-green",4
"36","Ethiopia",1700,6144000,"Ethiopian Heirlooms","Washed / Wet",7.92,7.75,7.83,8.17,8,7.75,10,10,10,7.83,85.25,9.4,0,1,"greenish",1
"37","Taiwan",1200,100,"Gesha","Washed / Wet",8,7.92,7.83,7.92,7.83,7.83,10,10,10,7.92,85.25,9.5,0,0,"bluish-green",0
"38","Taiwan",650,100,"Gesha","Pulped natural / honey",8.25,8.08,7.83,7.75,7.67,7.75,10,10,10,7.92,85.25,11.3,0,0,"green",0
"39","Kenya",1750,18000,"SL28","Washed / Wet",8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,85.25,9.2,0,0,"greenish",1
"40","Taiwan",850,20,"Gesha","Washed / Wet",7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,85.17,10.3,0,0,"bluish-green",0
"41","Taiwan",400,10,"Typica","Natural / Dry",8,7.92,7.83,7.92,7.75,7.75,10,10,10,7.92,85.08,10,0,0,"brownish",0
"42","Taiwan",1000,2,"Typica","Washed / Wet",8,8.08,7.67,7.75,7.92,7.83,10,10,10,7.83,85.08,10.5,0,0,"greenish",0
"43","Taiwan",800,50,"Gesha","Washed / Wet",8,7.92,7.67,8,7.75,7.83,10,10,10,7.92,85.08,10,0,0,"yellowish",5
"44","Uganda",1905,19200,"SL14","Washed / Wet",8,7.92,7.75,7.75,7.75,7.92,10,10,10,7.92,85,11,0,0,"green",1
"45","Taiwan",150,50,"Typica",NA,7.92,8,7.92,8,7.58,7.75,10,10,10,7.83,85,10.9,0,0,"green",0
"46","Taiwan",800,300,"Gesha","Natural / Dry",8.17,8.08,7.83,7.67,7.67,7.75,10,10,10,7.83,85,10.1,0,0,"yellow-green",0
"47","Guatemala",1600,18000,"Caturra","Washed / Wet",7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,85,9.9,0,1,"green",1
"48","Guatemala",4700,18960,"Catuai","Washed / Wet",7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,85,11.3,0,0,"green",4
"49","Guatemala",1600,18975,"Caturra","Washed / Wet",7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,84.92,11.7,0,3,"green",1
"50","Taiwan",375,13,"Typica","Washed / Wet",7.92,7.92,7.83,7.83,7.75,7.83,10,10,10,7.83,84.92,9.5,0,0,"green",2
"51","Taiwan",230,4,"Bourbon","Natural / Dry",8,8,7.75,7.75,7.67,7.75,10,10,10,7.92,84.83,9.7,0,0,"brownish",0
"52","Indonesia",1200,19200,"Catimor",NA,7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,84.83,11.9,0,3,"bluish-green",2
"53","Peru",1750,15,"Gesha","Washed / Wet",8,8,7.83,7.83,7.58,7.83,10,10,10,7.75,84.83,10.7,0,0,"greenish",0
"54","Tanzania, United Republic Of",1654,18600,"Bourbon","Washed / Wet",7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,84.83,11.2,0,0,"greenish",0
"55","Taiwan",1300,25,"SL34","Natural / Dry",7.83,7.83,7.67,7.67,7.83,8,10,10,10,8,84.83,9.5,0,0,"greenish",0
"56","Taiwan",1400,30,"SL34","Washed / Wet",7.67,7.92,7.92,7.83,7.75,7.83,10,10,10,7.83,84.75,10.4,0,0,"green",0
"57","Brazil",1100,180,"Bourbon","Natural / Dry",7.83,7.92,7.75,7.92,7.67,7.83,10,10,10,7.83,84.75,11.2,0,1,"green",5
"58","Panama",1200,6000,"Catuai","Washed / Wet",7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,84.75,10.3,0,1,"bluish-green",5
"59","Taiwan",1200,2,"Bourbon","Pulped natural / honey",7.92,8.08,7.67,7.92,7.67,7.75,10,10,10,7.75,84.75,10,0,0,"blue-green",0
"60","Guatemala",1600,18000,"Caturra","Washed / Wet",7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,84.67,10.6,0,0,"green",1
"61","Guatemala",4895,1980,"Bourbon","Natural / Dry",7.83,8,7.67,7.83,7.75,7.75,10,10,10,7.83,84.67,10.9,0,3,"yellow-green",2
"62","Costa Rica",1850,17940,"Caturra","Washed / Wet",7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,84.67,10,0,1,"green",2
"63","Taiwan",250,16,"Typica","Pulped natural / honey",7.83,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.58,9.6,0,0,"greenish",0
"64","Taiwan",700,80,"Gesha","Pulped natural / honey",8.17,7.83,7.67,7.83,7.67,7.67,10,10,10,7.75,84.58,11.5,0,0,"green",0
"65","Nicaragua",1350,3330,"Catrenic","Natural / Dry",7.92,7.75,7.67,7.67,7.83,7.75,10,10,10,8,84.58,9.9,1,0,"green",2
"66","Taiwan",1250,80,"Gesha","Washed / Wet",8.08,7.83,7.67,7.67,7.67,7.75,10,10,10,7.92,84.58,11.2,0,0,"green",2
"67","Taiwan",1450,104,"SL34","Natural / Dry",7.83,8,7.67,7.75,7.67,7.75,10,10,10,7.92,84.58,10.3,0,0,"green",0
"68","Vietnam",650,15,"Catimor","Natural / Dry",8,7.83,7.75,7.67,7.58,7.83,10,10,10,7.92,84.58,11.6,0,0,"brownish",0
"69","Costa Rica",1900,22,"Gesha","Washed / Wet",7.75,7.83,7.67,7.83,7.75,7.75,10,10,10,7.92,84.5,11.7,0,1,"green",0
"70","Taiwan",520,300,NA,"Pulped natural / honey",7.75,7.92,7.83,7.75,7.75,7.75,10,10,10,7.75,84.5,11.3,0,0,"bluish-green",0
"71","Honduras",1368,23460,"Catuai","Washed / Wet",7.83,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.5,9.8,0,0,"green",3
"72","Ethiopia",1943,17520,"Ethiopian Heirlooms","Washed / Wet",7.92,7.83,7.75,7.92,7.58,7.67,10,10,10,7.83,84.5,10.9,0,0,"green",9
"73","Taiwan",400,20,"Typica","Natural / Dry",8.08,7.92,7.75,7.83,7.5,7.58,10,10,10,7.83,84.5,10.2,0,0,"green",0
"74","Taiwan",850,100,"Gesha","Washed / Wet",7.83,8,7.5,7.75,7.75,7.75,10,10,10,7.83,84.42,10.1,0,0,"bluish-green",1
"75","Guatemala",1350,18000,"Bourbon","Washed / Wet",7.67,7.83,7.75,7.75,7.83,7.75,10,10,10,7.75,84.33,9.2,0,1,"green",5
"76","United States (Hawaii)",1300,100,"Catuai","Washed / Wet",7.92,7.83,7.75,7.92,7.5,7.67,10,10,10,7.75,84.33,10.1,3,0,"yellow-green",7
"77","Ethiopia",2361,19200,"Ethiopian Heirlooms","Natural / Dry",7.83,7.75,7.58,7.92,8,7.5,10,10,10,7.75,84.33,11,0,5,"yellow-green",4
"78","El Salvador",1500,600,"Pacamara","Pulped natural / honey",7.83,7.83,7.83,7.83,7.67,7.67,10,10,10,7.67,84.33,10.3,0,0,"brownish",4
"79","Colombia",2100,19250,"Blend","Washed / Wet",7.75,7.75,7.75,7.75,7.83,7.67,10,10,10,7.83,84.33,11.6,0,0,"green",1
"80","Indonesia",1300,60,"Blend","Semi Washed",7.67,7.67,7.83,7.83,7.67,7.75,10,10,10,7.83,84.25,11.5,0,1,"blue-green",1
"81","Guatemala",1600,1650,"Typica","Washed / Wet",7.58,7.92,7.67,7.75,7.83,7.75,10,10,10,7.75,84.25,10,0,0,"green",1
"82","Madagascar",1500,300,"Bourbon","Washed / Wet",7.92,7.92,7.58,7.75,7.58,7.67,10,10,10,7.83,84.25,12.1,0,0,"blue-green",0
"83","Honduras",1368,10350,"Catuai","Washed / Wet",7.75,7.75,7.58,7.83,7.75,7.75,10,10,10,7.75,84.17,10.2,0,0,"green",2
"84","Guatemala",1600,18975,"Caturra","Washed / Wet",7.58,7.92,7.58,7.83,7.75,7.67,10,10,10,7.75,84.08,11,0,3,"green",2
"85","Taiwan",150,110,NA,"Pulped natural / honey",7.83,7.92,7.83,7.58,7.58,7.67,10,10,10,7.67,84.08,10.8,0,0,"greenish",2
"86","Taiwan",800,80,"Gesha","Natural / Dry",7.92,7.75,7.67,7.75,7.75,8,9.33,10,10,7.92,84.08,10.6,0,0,"yellow-green",0
"87","Guatemala",1550,12900,"Caturra","Washed / Wet",7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,84.08,11,0,1,"green",2
"88","Guatemala",1550,6000,"Caturra","Washed / Wet",7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,84,11,0,2,"green",2
"89","Honduras",1800,480,"Typica","Pulped natural / honey",7.75,7.75,7.75,7.67,7.75,7.67,10,10,10,7.67,84,9.4,0,0,"green",0
"90","Tanzania, United Republic Of",1675,12000,"Bourbon","Washed / Wet",7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,84,9.8,0,0,"greenish",3
"91","Ethiopia",1800,18000,"Ethiopian Heirlooms","Washed / Wet",8,7.75,7.5,7.67,7.67,7.67,10,10,10,7.75,84,11.3,1,1,"green",1
"92","Tanzania, United Republic Of",1650,19200,"Bourbon","Washed / Wet",7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,84,11.6,0,0,"greenish",2
"93","Colombia",1650,19250,"Caturra","Washed / Wet",7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,84,13.3,0,2,"green",3
"94","Costa Rica",1850,8750,"Caturra","Washed / Wet",7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,83.92,9.5,0,0,"green",2
"95","Guatemala",1900,15,"Gesha","Natural / Dry",7.83,7.83,7.58,7.67,7.67,7.58,10,10,10,7.75,83.92,11.9,0,0,"greenish",0
"96","Guatemala",1600,1050,"Bourbon","Washed / Wet",7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,83.92,10,0,1,"green",2
"97","Thailand",1350,30,"Catimor","Natural / Dry",7.75,7.67,7.58,7.75,7.75,7.67,10,10,10,7.75,83.92,11.6,0,0,"yellowish",3
"98","Colombia",1411,26250,NA,"Washed / Wet",7.67,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,83.83,11.9,0,1,"green",1
"99","Guatemala",1400,18000,"Blend","Natural / Dry",7.58,7.83,7.67,7.67,7.67,7.67,10,10,10,7.75,83.83,10.8,0,0,"green",4
"100","Guatemala",NA,19050,"Bourbon","Washed / Wet",7.58,7.92,7.5,7.67,7.75,7.67,10,10,10,7.75,83.83,10.9,0,1,"greenish",4
"101","Ethiopia",2000,6000,"Ethiopian Heirlooms","Washed / Wet",7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,83.83,12,0,0,"green",12
"102","Colombia",1700,19950,"Caturra","Washed / Wet",7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,83.83,12.1,2,5,"green",5
"103","United States (Hawaii)",500,60,"Typica","Washed / Wet",7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,83.83,11.8,0,3,"green",3
"104","Colombia",1800,1400,"Bourbon","Pulped natural / honey",7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,83.75,10.6,0,0,"greenish",1
