id_fait,annee,code_departement,id_indicateur,nombre_faits,taux_pour_mille,population,nombre_logements
2,2016,01,4,5,0.008,638425,308491
3,2016,02,4,10,0.019,536136,264180
4,2016,03,4,4,0.012,339384,206980
5,2016,04,4,2,0.012,162565,126760
6,2016,05,4,0,0.000,141107,134647
7,2016,06,4,97,0.090,1083704,761857
8,2016,07,4,5,0.015,325157,201264
9,2016,08,4,5,0.018,275371,142010
10,2016,09,4,1,0.007,153067,108589
11,2016,10,4,6,0.019,308910,163064
12,2016,11,4,2,0.005,368025,258453
13,2016,12,4,1,0.004,278697,179901
14,2016,13,4,44,0.022,2019717,1009576
15,2016,14,4,4,0.006,693679,412038
16,2016,15,4,2,0.014,145969,101070
17,2016,16,4,5,0.014,353288,196145
18,2016,17,4,8,0.012,642191,427696
19,2016,18,4,4,0.013,307110,177873
20,2016,19,4,1,0.004,241535,153380
21,2016,21,4,6,0.011,533213,285326
22,2016,22,4,8,0.013,598953,363788
23,2016,23,4,3,0.025,119502,88330
24,2016,24,4,2,0.005,414789,256942
25,2016,25,4,3,0.006,538549,277578
26,2016,26,4,6,0.012,508006,269062
27,2016,27,4,5,0.008,602825,292969
28,2016,28,4,6,0.014,433929,213849
29,2016,29,4,5,0.006,908249,537671
30,2016,2A,4,7,0.045,154303,116432
31,2016,2B,4,7,0.040,176152,129422
32,2016,30,4,10,0.013,742006,419029
33,2016,31,4,16,0.012,1348183,703754
34,2016,32,4,2,0.010,190664,109392
35,2016,33,4,12,0.008,1566679,843050
36,2016,34,4,18,0.016,1132481,707572
37,2016,35,4,5,0.005,1051779,538258
38,2016,36,4,0,0.000,223505,138229
39,2016,37,4,5,0.008,606223,318933
40,2016,38,4,8,0.006,1252912,639743
41,2016,39,4,2,0.008,260517,148337
42,2016,40,4,5,0.012,405010,252298
43,2016,41,4,6,0.018,332769,182821
44,2016,42,4,15,0.020,761997,394202
45,2016,43,4,0,0.000,227339,142111
46,2016,44,4,12,0.009,1380852,729714
47,2016,45,4,7,0.010,674330,341549
48,2016,46,4,1,0.006,173347,117328
49,2016,47,4,4,0.012,332833,184194
50,2016,48,4,0,0.000,76422,60395
51,2016,49,4,5,0.006,810934,391283
52,2016,50,4,4,0.008,498362,295248
53,2016,51,4,6,0.011,570883,292095
54,2016,52,4,1,0.006,178084,100722
55,2016,53,4,2,0.007,307688,155625
56,2016,54,4,14,0.019,733821,373165
57,2016,55,4,1,0.005,189055,99550
58,2016,56,4,3,0.004,747548,459455
59,2016,57,4,13,0.012,1045271,510597
60,2016,58,4,1,0.005,209161,141593
61,2016,59,4,30,0.012,2603723,1205062
62,2016,60,4,10,0.012,823542,369320
63,2016,61,4,4,0.014,285308,164640
64,2016,62,4,19,0.013,1470725,708207
65,2016,63,4,7,0.011,650700,382695
66,2016,64,4,11,0.016,673986,400053
67,2016,65,4,1,0.004,227829,160809
68,2016,66,4,9,0.019,474369,346847
69,2016,67,4,14,0.012,1121407,546387
70,2016,68,4,7,0.009,762743,373686
71,2016,69,4,23,0.013,1835903,904462
72,2016,70,4,3,0.013,237242,126631
73,2016,71,4,4,0.007,555023,309191
74,2016,72,4,7,0.012,567561,289447
75,2016,73,4,2,0.005,429681,341648
76,2016,74,4,10,0.012,801416,500698
77,2016,75,4,31,0.014,2190327,1374377
78,2016,76,4,17,0.014,1255755,634421
79,2016,77,4,7,0.005,1397665,604627
80,2016,78,4,8,0.006,1431808,629383
81,2016,79,4,6,0.016,374743,192620
82,2016,80,4,3,0.005,572744,297094
83,2016,81,4,2,0.005,386448,209380
84,2016,82,4,3,0.012,256897,130059
85,2016,83,4,14,0.013,1055821,707520
86,2016,84,4,5,0.009,559014,298637
87,2016,85,4,3,0.004,670597,417192
88,2016,86,4,7,0.016,436069,237993
89,2016,87,4,2,0.005,374978,219170
90,2016,88,4,3,0.008,369641,212925
91,2016,89,4,2,0.006,340544,195822
92,2016,90,4,2,0.014,144089,71929
93,2016,91,4,20,0.016,1287330,550895
94,2016,92,4,5,0.003,1603268,789809
95,2016,93,4,29,0.018,1606660,662466
96,2016,94,4,14,0.010,1378151,626297
97,2016,95,4,10,0.008,1221923,497749
98,2017,01,4,7,0.011,643350,313061
99,2017,02,4,11,0.021,534490,265548
100,2017,03,4,6,0.018,337988,207725
101,2017,04,4,2,0.012,163915,127940
102,2017,05,4,0,0.000,141284,135493
103,2017,06,4,16,0.015,1083310,766748
104,2017,07,4,1,0.003,325712,203015
105,2017,08,4,1,0.004,273579,142452
106,2017,09,4,1,0.007,153153,109392
107,2017,10,4,5,0.016,310020,164453
108,2017,11,4,7,0.019,370260,261180
109,2017,12,4,1,0.004,279206,181053
110,2017,13,4,57,0.028,2024162,1021226
111,2017,14,4,6,0.009,694002,416115
112,2017,15,4,0,0.000,145143,101363
113,2017,16,4,4,0.011,352335,197059
114,2017,17,4,6,0.009,644303,431948
115,2017,18,4,2,0.007,304256,178580
116,2017,19,4,0,0.000,241464,154124
117,2017,21,4,3,0.006,533819,287831
118,2017,22,4,6,0.010,598814,366683
119,2017,23,4,2,0.017,118638,88506
120,2017,24,4,4,0.010,413606,258732
121,2017,25,4,12,0.022,539067,279578
122,2017,26,4,7,0.014,511553,272494
123,2017,27,4,5,0.008,601843,295109
124,2017,28,4,7,0.016,433233,215350
125,2017,29,4,8,0.009,909028,542677
126,2017,2A,4,3,0.019,157249,118848
127,2017,2B,4,14,0.079,177689,130820
128,2017,30,4,11,0.015,744178,423840
129,2017,31,4,12,0.009,1362672,715532
130,2017,32,4,1,0.005,191091,110358
131,2017,33,4,18,0.011,1583384,856616
132,2017,34,4,15,0.013,1144892,718743
133,2017,35,4,5,0.005,1060199,546440
134,2017,36,4,1,0.004,222232,138634
135,2017,37,4,7,0.012,606511,321881
136,2017,38,4,16,0.013,1258722,646707
137,2017,39,4,0,0.000,260188,149350
138,2017,40,4,2,0.005,407444,255992
139,2017,41,4,3,0.009,331915,183643
140,2017,42,4,4,0.005,762941,396655
141,2017,43,4,2,0.009,227283,142989
142,2017,44,4,10,0.007,1394909,740924
143,2017,45,4,5,0.007,678105,344708
144,2017,46,4,2,0.012,173828,118075
145,2017,47,4,11,0.033,332842,185343
146,2017,48,4,1,0.013,76601,60898
147,2017,49,4,16,0.020,813493,394578
148,2017,50,4,4,0.008,496883,297133
149,2017,51,4,6,0.011,568895,294041
150,2017,52,4,0,0.000,175640,100650
151,2017,53,4,3,0.010,307445,156662
152,2017,54,4,7,0.010,733481,375755
153,2017,55,4,2,0.011,187187,99736
154,2017,56,4,10,0.013,750863,464186
155,2017,57,4,17,0.016,1043522,514328
156,2017,58,4,2,0.010,207182,141642
157,2017,59,4,30,0.012,2604361,1214497
158,2017,60,4,11,0.013,824503,372778
159,2017,61,4,1,0.004,283372,164926
160,2017,62,4,15,0.010,1468018,713245
161,2017,63,4,5,0.008,653742,386425
162,2017,64,4,7,0.010,677309,404979
163,2017,65,4,0,0.000,228530,161703
164,2017,66,4,7,0.015,474452,349914
165,2017,67,4,4,0.004,1125559,554075
166,2017,68,4,5,0.007,764030,376960
167,2017,69,4,20,0.011,1843319,914980
168,2017,70,4,3,0.013,236659,127615
169,2017,71,4,3,0.005,553595,310391
170,2017,72,4,5,0.009,566506,291039
171,2017,73,4,8,0.019,431174,345226
172,2017,74,4,12,0.015,807360,508229
173,2017,75,4,32,0.015,2187526,1382779
174,2017,76,4,11,0.009,1254378,640334
175,2017,77,4,18,0.013,1403997,612076
176,2017,78,4,11,0.008,1438266,637200
177,2017,79,4,5,0.013,374351,193971
178,2017,80,4,7,0.012,572443,299211
179,2017,81,4,3,0.008,387890,211038
180,2017,82,4,3,0.012,258349,131300
181,2017,83,4,25,0.024,1058740,714503
182,2017,84,4,13,0.023,559479,301947
183,2017,85,4,3,0.004,675247,421680
184,2017,86,4,3,0.007,436876,240200
185,2017,87,4,1,0.003,374426,219980
186,2017,88,4,2,0.005,367673,213629
187,2017,89,4,6,0.018,338291,196697
188,2017,90,4,1,0.007,142622,72211
189,2017,91,4,13,0.010,1296130,558684
190,2017,92,4,10,0.006,1609306,796181
191,2017,93,4,26,0.016,1623111,671680
192,2017,94,4,15,0.011,1387926,633207
193,2017,95,4,7,0.006,1228618,504100
194,2018,01,4,7,0.011,647634,317983
195,2018,02,4,9,0.017,533316,266641
196,2018,03,4,3,0.009,337171,208375
197,2018,04,4,1,0.006,164068,129062
198,2018,05,4,2,0.014,140698,136581
199,2018,06,4,20,0.018,1086219,772317
200,2018,07,4,2,0.006,326606,204906
201,2018,08,4,2,0.007,271845,143015
202,2018,09,4,1,0.007,153066,110222
203,2018,10,4,3,0.010,310020,165502
204,2018,11,4,13,0.035,372806,263889
205,2018,12,4,2,0.007,279274,182028
206,2018,13,4,74,0.036,2034357,1034043
207,2018,14,4,2,0.003,694056,419714
208,2018,15,4,3,0.021,144765,101693
209,2018,16,4,3,0.009,351778,198242
210,2018,17,4,9,0.014,646932,436869
211,2018,18,4,1,0.003,303408,179125
212,2018,19,4,1,0.004,240583,154657
213,2018,21,4,6,0.011,533220,290523
214,2018,22,4,6,0.010,599584,369601
215,2018,23,4,1,0.009,117503,88728
216,2018,24,4,7,0.017,413418,260245
217,2018,25,4,6,0.011,541454,282056
218,2018,26,4,17,0.033,514732,275727
219,2018,27,4,3,0.005,599962,297286
220,2018,28,4,3,0.007,431997,216684
221,2018,29,4,10,0.011,911735,545808
222,2018,2A,4,5,0.032,157853,120567
223,2018,2B,4,5,0.028,180701,132077
224,2018,30,4,12,0.016,745458,428087
225,2018,31,4,13,0.009,1380672,728249
226,2018,32,4,3,0.016,191283,111171
227,2018,33,4,21,0.013,1601845,872327
228,2018,34,4,15,0.013,1159220,729653
229,2018,35,4,5,0.005,1069228,554254
230,2018,36,4,1,0.005,220595,138879
231,2018,37,4,5,0.008,607760,325172
232,2018,38,4,8,0.006,1263563,653289
233,2018,39,4,3,0.012,259746,150169
234,2018,40,4,0,0.000,410355,259512
235,2018,41,4,4,0.012,330248,184614
236,2018,42,4,2,0.003,763441,399134
237,2018,43,4,5,0.022,227552,143699
238,2018,44,4,20,0.014,1412502,752968
239,2018,45,4,6,0.009,678845,347107
240,2018,46,4,0,0.000,173929,118998
241,2018,47,4,3,0.009,331970,186511
242,2018,48,4,0,0.000,76520,61340
243,2018,49,4,6,0.007,815883,397887
244,2018,50,4,3,0.006,495983,298631
245,2018,51,4,4,0.007,567462,295611
246,2018,52,4,1,0.006,174069,100617
247,2018,53,4,4,0.013,307084,157552
248,2018,54,4,9,0.012,733469,378055
249,2018,55,4,1,0.005,185355,99893
250,2018,56,4,3,0.004,754867,468872
251,2018,57,4,12,0.011,1043524,518772
252,2018,58,4,3,0.015,205828,141623
253,2018,59,4,40,0.015,2606234,1224589
